序章,"戴着红色兜帽的瓢虫小女孩在荒野中醒来。风里有陌生的危险气味，但只要拍拍背后的圆点，就没什么好怕的。",,,,,,,,,,,,,,,,,,,
行走教学,"试着轻推左摇杆/按键走几步吧。先在附近转转 熟悉移动和镜头的感觉。",,,,,,,,,,,,,,,,,,,
采集教学,"看到发光采集点时 靠近后按交互键就能采集。材料会自动放进背包里。",,,,,,,,,,,,,,,,,,,
宝箱教学,"宝箱附近常有怪物巡逻。先观察它们的路线 抓住空档再悄悄靠近开启。",,,,,,,,,,,,,,,,,,,
冲刺教学,"按住冲刺键可以更快移动。遇到危险时 用冲刺拉开距离会更稳妥。",,,,,,,,,,,,,,,,,,,
【剧情】发现被怪物包围的水獭哥哥,"主角心理：咦？好大一只水獭！他被那些发狂的暗影怪死死围住了，绒毛都竖起来了……得帮帮他！|水獭哥哥：呼……呼……危险！别过来——这群家伙发狂了！|主角：喂！长着丑脸的坏家伙，全看这儿！大高个，我飞到半空牵扯它们，你趁机突围！",,,,,,,,,,,,,,,,,,,
【剧情】再次遇到水獭哥哥,"主角：呼……只要我飞得够快，那些笨家伙就摸不到我的红斗篷！你没受伤吧，大高个？|水獭哥哥：我没事。你个子这么小，刚才太冒险了。不过……多谢。|水獭哥哥：此地不宜久留，入夜后荒野的瘴气和怪物会更多，我们需要一个能遮掩气味的落脚点。|主角：探路就交给我吧！我飞到树洞或者高处找找，一定有个好地方！",,,,,,,,,,,,,,,,,,,
【任务】寻找避难所,"任务目标：在野外继续探索，寻找可以暂时落脚和避险的场所。",,,,,,,,,,,,,,,,,,,
【剧情】找到了避难所，和水獭哥哥一起进入,"主角：看，就是这儿！这是一个废弃的树根地堡，只要堵住洞口，坏家伙们就进不来啦。|水獭哥哥：这地方虽然积了土，但防潮做得不错，根系也很结实……你这小家伙探路的眼神很好。|主角心理：嘿嘿，终于能抖抖触角喘口气了……只要打扫一下，这儿一定会是个温暖的绝佳地堡呢！",,,,,,,,,,,,,,,,,,,
第一章,"据点终于有了轮廓。想真正住下来 还得把它一点点搭起来。",,,,,,,,,,,,,,,,,,,
【剧情】水獭哥哥提出需要建设,"水獭哥哥：这地方荒废太久了，夜里荒野的寒雾肯定会透进来。|水獭哥哥：如果能找些坚韧的枝干和干燥的苔藓做张床，至少能让人安心闭一会儿眼。|主角：没问题！我刚才在林子里看到了好多有用的材料，包在我身上！我一口气全都运回来！",,,,,,,,,,,,,,,,,,,
【任务】收集床的所需材料,"任务目标：收集制作床所需材料 带回家园准备开工。",,,,,,,,,,,,,,,,,,,
【剧情】完成收集，水獭哥哥反馈,"水獭哥哥：这么多材料……辛苦你跑这一趟了。|主角：嘿嘿，一点都不累，拍拍翅膀的事！接下来怎么做呀？|水獭哥哥：把东西放这边的简易木台上吧，我教你如何拼接蓝图。",,,,,,,,,,,,,,,,,,,
【任务】建造床,"任务目标：在工作台选择床的蓝图 完成首次制作。",,,,,,,,,,,,,,,,,,,
【剧情】完成建造，水獭哥哥反馈,"水獭哥哥：这床的榫卯卡得很紧。你不仅飞得快，手也很巧。|水獭哥哥：就差最后一步了，挑个避风干燥的死角安置它吧。|主角：好！这可是咱们的第一张小床呢，铺上软绒草，睡上去一定会做个甜甜的梦！",,,,,,,,,,,,,,,,,,,
【任务】摆放床,"任务目标：进入摆放模式 将床放置在家园内可用区域。",,,,,,,,,,,,,,,,,,,
【剧情】完成摆放，水獭哥哥反馈,"水獭哥哥：有了这张床，才算有了一点能过夜的样子。谢谢。|主角：以后这棵树根下面还会越来越棒，我们会把它打扮得漂漂亮亮的！|主角心理：嘿嘿，拍拍小斗篷上面的尘土，第一件大事干得漂亮！",,,,,,,,,,,,,,,,,,,
第二章,"家园初步成形。下一步 让这里住起来更舒服。",,,,,,,,,,,,,,,,,,,
【剧情】水獭哥哥觉得可以家里更好,"水獭哥哥：现在能落脚了，但长久打算的话，目前的条件还很恶劣。|水獭哥哥：只有让这里的环境更舒适，我才能静下心在工作台画出更多有用的图纸。|主角：明白！那就看我的吧，我会把这里布置得漂漂亮亮的！",,,,,,,,,,,,,,,,,,,
【任务】达成舒适度xxx,"任务目标：通过建造与摆放家具 将家园舒适度提升到xxx。",,,,,,,,,,,,,,,,,,,
【教学】舒适度解说,"随着家园舒适度的提升，工作台上将会解锁更多的高级蓝图！尽量多摆放一些不同的家具来积累舒适度吧。",,,,,,,,,,,,,,,,,,,
【剧情】水獭哥哥让查看工作台，新解锁了蓝图,"水獭哥哥：这地方现在挺好的，我已经把新想到的图纸留在工作台上了。|主角：哇！居然解锁了这么多新东西！你简直像个会变魔术的大工匠！|水獭哥哥：去试试吧，有了这些新设计，我们能做好更全面的防备。",,,,,,,,,,,,,,,,,,,
【剧情】舒适度达成，水獭哥哥感谢玩家。告知玩家还有水獭姐姐和妹妹在外流浪。预告将来游戏的内容,"水獭哥哥：……炉火很暖。我已经很久没在这么安心的地方掸干毛发了。|主角：嘿嘿，等我以后采来花蜜，还能给你做甜甜的露水布丁！|水獭哥哥：露水布丁……在我们在洪水中走散前，我妹妹也总吵着要吃这道甜点。|主角：咦？大高个，你还有家人在外面流浪吗？|水獭哥哥：嗯。不知道这漆黑的荒野里，她们能不能找到生火避寒的树洞。|主角：别发愁啦！等咱们把这里建成最坚固的堡垒，打好行囊，就一起出发去接她们！到时候大家一起吃布丁！|水獭哥哥：你不仅勇敢，还很温暖。那作为第一步，我们先去准备些趁手的求生装备吧。",,,,,,,,,,,,,,,,,,,
