游戏名称,愿望单数量,销量,价格,分成后总收入,Steam链接,,,,,,,,,,,,,,,
Unbox the Room,"29,380 ","19,490 ",$7.99 ,"$116,690.00 ",https://store.steampowered.com/app/3017730,,2D像素,,,,,,,,,,,,,
淘淘旧货铺 Thrifty Business,"84,890 ","35,480 ",$12.99 ,"$380,440.00 ",https://store.steampowered.com/app/3693650,unpacking+星露谷？,2D像素复古,,,,,,,,,,,,,
观鸟笔记,"104,790 ","62,370 ",$9.99 ,"$389,810.00 ",https://store.steampowered.com/app/4111370,装修+放置,2D像素,,,,,,,,,,,,,
我的小绿屋 Urban Jungle,"112,190 ","31,320 ",$11.99 ,"$261,580.00 ",https://store.steampowered.com/app/2744010,,3D,,,,,,,,,,,,,
Furnish Master,"256,430 ","68,950 ",$14.99 ,"$845,270.00 ",https://store.steampowered.com/app/2004080,,3D,,,,,,,,,,,,,
林间暖巢 Winter Burrow,"407,550 ","88,180 ",$19.98 ,"$1,360,000.00 ",https://store.steampowered.com/app/3008740,,2D,,,,,,,,,,,,,
呓语小镇,"466,430 ","258,290 ",$14.99 ,"$2,950,000.00 ",https://store.steampowered.com/app/2589500,,2D像素,,,,,,,,,,,,,
焕家物语 (Hozy),"574,780 ","322,620 ",$14.99 ,"$3,720,000.00 ",https://store.steampowered.com/app/3326230,,3D,,,,,,,,,,,,,
Unpacking,"904,070 ","663,040 ",$19.99 ,"$8,460,000.00 ",https://store.steampowered.com/app/1135690,,3D,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
潜水员戴夫 DAVE THE DIVER,"2,440,000 ","5,170,000 ",$19.99 ,"$73,150,000.00 ",https://store.steampowered.com/app/1868140,,2D像素,,,,,,,,,,,,,
逃离鸭科夫 Escape From Duckov,"1,410,000 ","4,490,000 ",$17.99 ,"$52,170,000.00 ",https://store.steampowered.com/app/3167020,,3D,,,,,,,,,,,,,
